Company,City,Country,lat,lon,Design Companies,Nightclub,Elementary School,Middle School,High School,Starbucks,Airport,Train,Basketball,Vegan,Pet,Value
Outspark,San Francisco,USA,37.775196,-122.419204,20.0,121.0,255.0,255.0,221.0,225.0,270.0,8.0,799.0,280.0,301.0,83.79540229885058
Viddyou,San Francisco,USA,37.775196,-122.419204,20.0,121.0,255.0,255.0,221.0,225.0,270.0,8.0,799.0,280.0,301.0,83.79540229885058
PurePlay,San Francisco,USA,37.775196,-122.419204,20.0,121.0,255.0,255.0,221.0,225.0,270.0,8.0,799.0,280.0,301.0,83.79540229885058
One Season,San Francisco,USA,37.775196,-122.419204,20.0,121.0,255.0,255.0,221.0,225.0,270.0,8.0,799.0,280.0,301.0,83.79540229885058
stickychicken,San Francisco,USA,37.775196,-122.419204,20.0,121.0,255.0,255.0,221.0,225.0,270.0,8.0,799.0,280.0,301.0,83.79540229885058
Fliggo,San Francisco,USA,37.775196,-122.419204,20.0,121.0,255.0,255.0,221.0,225.0,270.0,8.0,799.0,280.0,301.0,83.79540229885058
Robotgalaxy,New York,USA,40.737216,-73.990947,22.0,340.0,708.0,102.0,335.0,133.0,499.0,550.0,475.0,96.0,214.0,170.76724137931035
Sutros,San Francisco,USA,37.756922,-122.42087,20.0,51.0,796.0,194.0,642.0,1130.0,564.0,368.0,516.0,25.0,910.0,184.6235632183908
Cellufun,New York,USA,40.73993,-73.9930489,22.0,489.0,601.0,432.0,242.0,213.0,441.0,412.0,473.0,258.0,324.0,187.44310344827588
TubeSpree,San Francisco,USA,37.781386,-122.421406,20.0,394.0,681.0,191.0,277.0,494.0,573.0,621.0,644.0,299.0,499.0,187.56781609195403
Comixology,New York,USA,40.740512,-73.987794,22.0,73.0,1033.0,545.0,547.0,79.0,51.0,442.0,323.0,396.0,277.0,191.2229885057471
South Park Studios,New York,USA,40.766332,-73.981828,22.0,188.0,657.0,999.0,509.0,144.0,172.0,447.0,398.0,506.0,114.0,212.26436781609195
Vroengard Academy,New York,USA,40.765283,-73.982007,22.0,174.0,649.0,1077.0,620.0,126.0,73.0,408.0,338.0,455.0,91.0,217.7586206896552
SwitchGames,New York,USA,40.7297485,-73.9867361,22.0,291.0,591.0,806.0,652.0,324.0,338.0,385.0,304.0,183.0,689.0,220.83908045977012
Ustream,San Francisco,USA,37.392936,-122.07948,20.0,41.0,904.0,1173.0,532.0,681.0,140.0,282.0,973.0,269.0,1080.0,228.50919540229884
Mondo Media,San Francisco,USA,37.764169,-122.402021,20.0,109.0,244.0,1740.0,350.0,227.0,233.0,683.0,932.0,1249.0,758.0,232.61206896551727
Kabam,San Francisco,USA,37.3944561,-122.0785314,20.0,133.0,956.0,1210.0,595.0,869.0,80.0,143.0,795.0,457.0,1217.0,242.16149425287358
Zynga,San Francisco,USA,37.765158,-122.404234,20.0,309.0,465.0,1614.0,408.0,105.0,10.0,496.0,932.0,1026.0,540.0,243.5367816091954
For Your Imagination,New York,USA,40.744594,-73.989698,22.0,75.0,914.0,928.0,831.0,109.0,367.0,491.0,428.0,92.0,120.0,249.28735632183913
Livestream,New York,USA,40.726155,-73.995625,22.0,104.0,526.0,1189.0,1246.0,116.0,437.0,98.0,428.0,383.0,908.0,259.5545977011494
Sticher,San Francisco,USA,37.8093381,-122.4166061,20.0,184.0,1181.0,696.0,884.0,329.0,481.0,225.0,837.0,1406.0,1233.0,263.84022988505745
Saavn,New York,USA,40.743877,-73.98618,22.0,102.0,1212.0,939.0,929.0,144.0,316.0,185.0,313.0,189.0,305.0,266.47988505747134
[212]Media,New York,USA,40.743877,-73.98618,22.0,102.0,1212.0,939.0,929.0,144.0,316.0,185.0,313.0,189.0,305.0,266.47988505747134
FremantleMedia Ventures,New York,USA,40.7439449,-73.9855424,22.0,77.0,1265.0,934.0,945.0,152.0,352.0,138.0,298.0,239.0,283.0,268.3551724137931
InChairTV,New York,USA,40.80405,-73.952833,22.0,89.0,483.0,483.0,778.0,239.0,1593.0,1152.0,489.0,2164.0,1310.0,271.4419540229885
FanPrice,Los Angeles,USA,38.233786,-122.636071,10.0,348.0,955.0,800.0,1163.0,416.0,32.0,403.0,11972.0,5408.0,53.0,288.0718390804598
CollegeClickTV,New York,USA,40.7495594,-73.9916617,22.0,206.0,674.0,1473.0,1291.0,86.0,130.0,48.0,43.0,558.0,612.0,288.343103448276
DanceJam,San Francisco,USA,37.781557,-122.407959,20.0,80.0,1325.0,660.0,1372.0,289.0,287.0,281.0,316.0,386.0,314.0,289.7505747126437
Kyte,San Francisco,USA,37.788482,-122.409173,20.0,131.0,872.0,1156.0,1408.0,97.0,101.0,303.0,452.0,376.0,529.0,291.201724137931
Indee,San Francisco,USA,37.8053241,-122.4052761,20.0,617.0,388.0,500.0,1665.0,341.0,953.0,189.0,728.0,1054.0,772.0,311.25402298850577
Vimeo,New York,USA,40.7453721,-74.0078293,22.0,86.0,621.0,1138.0,1360.0,472.0,526.0,976.0,234.0,832.0,760.0,318.17241379310343
RayV,New York,USA,40.781159,-73.978332,22.0,489.0,698.0,675.0,609.0,235.0,768.0,1898.0,140.0,182.0,354.0,323.6563218390805
MindSmack,New York,USA,40.758492,-73.989987,22.0,119.0,852.0,1597.0,1025.0,218.0,221.0,835.0,574.0,383.0,533.0,324.3770114942529
plaYce,San Francisco,USA,37.80204,-122.438231,20.0,395.0,442.0,251.0,1252.0,160.0,1366.0,1590.0,1580.0,706.0,342.0,324.99310344827586
plaYce,San Francisco,USA,37.80204,-122.438231,20.0,395.0,442.0,251.0,1252.0,160.0,1366.0,1590.0,1580.0,706.0,342.0,324.99310344827586
ngmoco,San Francisco,USA,37.7705096,-122.4015807,20.0,530.0,805.0,1128.0,1027.0,169.0,613.0,428.0,356.0,1091.0,749.0,326.13563218390817
Gawkk,New York,USA,40.778635,-73.984438,22.0,308.0,1283.0,793.0,511.0,212.0,434.0,1721.0,378.0,403.0,101.0,327.11724137931037
Gawker Media,New York,USA,40.757929,-73.985506,22.0,141.0,978.0,1702.0,1114.0,72.0,55.0,547.0,775.0,317.0,892.0,328.21724137931045
Jango,New York,USA,40.757929,-73.985506,22.0,141.0,978.0,1702.0,1114.0,72.0,55.0,547.0,775.0,317.0,892.0,328.21724137931045
Paramount Pictures,New York,USA,40.7577017,-73.9858165,22.0,112.0,993.0,1721.0,1133.0,85.0,39.0,542.0,781.0,336.0,895.0,328.4770114942529
Dotsub,New York,USA,40.7680901,-73.9566761,22.0,905.0,836.0,447.0,355.0,237.0,874.0,1801.0,421.0,856.0,143.0,340.4195402298851
Kidos,New York,USA,40.768058,-73.956599,22.0,911.0,837.0,452.0,352.0,236.0,872.0,1806.0,416.0,861.0,141.0,341.3689655172414
Kidos,New York,USA,40.768058,-73.956599,22.0,911.0,837.0,452.0,352.0,236.0,872.0,1806.0,416.0,861.0,141.0,341.3689655172414
Cinelan,New York,USA,40.720699,-73.998107,22.0,89.0,854.0,1302.0,1875.0,136.0,225.0,588.0,201.0,127.0,867.0,350.7074712643678
Pando Networks,New York,USA,40.722655,-73.99873,22.0,268.0,808.0,1485.0,1715.0,60.0,47.0,448.0,75.0,262.0,1055.0,351.5080459770115
Citizen Sports,San Francisco,USA,37.777513,-122.397044,20.0,225.0,1573.0,462.0,1886.0,276.0,477.0,207.0,580.0,675.0,161.0,351.8022988505747
Heyzap,San Francisco,USA,37.7905538,-122.4041485,20.0,19.0,1298.0,1147.0,1906.0,31.0,250.0,250.0,435.0,592.0,222.0,351.9568965517241
GotGame,San Francisco,USA,37.77772,-122.395785,20.0,174.0,1614.0,527.0,1947.0,189.0,442.0,132.0,560.0,765.0,272.0,353.2258620689655
GigMaven,New York,USA,40.724289,-73.980587,22.0,197.0,761.0,1248.0,1387.0,353.0,570.0,1132.0,766.0,271.0,420.0,357.5833333333333
Soundwalk,New York,USA,40.722266,-73.999044,22.0,249.0,847.0,1475.0,1766.0,93.0,89.0,498.0,114.0,212.0,1042.0,360.180459770115
Kongregate,San Francisco,USA,37.786942,-122.401245,20.0,183.0,1588.0,704.0,2017.0,107.0,167.0,228.0,293.0,735.0,406.0,361.37126436781614
Fandango,Los Angeles,USA,34.031646,-118.455352,10.0,517.0,1481.0,621.0,1581.0,675.0,365.0,245.0,1004.0,1631.0,306.0,364.8212643678161
NEHST Studios,New York,USA,40.75451,-73.992193,22.0,104.0,873.0,1995.0,1492.0,217.0,184.0,355.0,432.0,418.0,663.0,365.3040229885058
